31,42,801,247,272,38,18,88,602,63,199,70,113,38,1619,1664,429,89,408,527,88,778,39,60,730,318,852,23,15,87,1849,1646,175,26,27,395,641,600,154,376,315,308,267,732,12,58,24,1353,892,237,41,67,825,625,758,155,678,120,383,767,36,26,704,953,37,665,253,43,599,463,492,226,13,526,946,85,66,46,330,408,1253,286,54,840,65,36,287,42,707,833,536,569,17,90,87,77,833,1886,239,68,850,585,303,376,578,17,253,43,422,1833,811,799,906,67,329,47,608,1328,458,339,297,954,387,565,1356,1729,503,25,223,488,906,505,333,933,75,538,848,404,863,639,40,558,13,57,74,334,707,585,49,218,68,259,197,119,1272,51,171,741,319,43,1143,893,572,53,164,45,1920,214,678,37,378,162,200,31,651,657,869,14,530,644,1035,471,666,414,1843,409,687,63,889,790,33,867,1321,95,307,304,670,500,93,520,1808,68,861,40,685,85,1330,1073,676,575,125,1597,909,469,737,82,431,79,1902,64,822,15,878,120,229,563,51,585,599,64,151,858,357,467,13,900,806,555,724,884,92,763,575,361,625,311,552,858,1402,634,546,41,1520,14,361,1458,629,85,114,1529,86,49,95,1222,16,714,1674,473,22,879,617,487,290,13,789,755,417,82,90,862,359,74,1153,383,80,773,544,22,525,1094,473,171,51,865,888,635,87,144,882,23
0.6,0.6,0.3,0.4,0.4,0.6,0.6,0.6,0.3,0.6,0.6,0.6,0.6,0.6,0.2,0.2,0.4,0.6,0.4,0.3,0.6,0.3,0.6,0.6,0.3,0.4,0.3,0.6,0.6,0.6,0.2,0.2,0.6,0.6,0.6,0.4,0.3,0.3,0.6,0.4,0.4,0.4,0.4,0.3,0.6,0.6,0.6,0.2,0.3,0.4,0.6,0.6,0.3,0.3,0.3,0.6,0.3,0.6,0.4,0.3,0.6,0.6,0.3,0.3,0.6,0.3,0.4,0.6,0.3,0.4,0.4,0.4,0.6,0.3,0.3,0.6,0.6,0.6,0.4,0.4,0.2,0.4,0.6,0.3,0.6,0.6,0.4,0.6,0.3,0.3,0.3,0.3,0.6,0.6,0.6,0.6,0.3,0.2,0.4,0.6,0.3,0.3,0.4,0.4,0.3,0.6,0.4,0.6,0.4,0.2,0.3,0.3,0.3,0.6,0.4,0.6,0.3,0.2,0.4,0.4,0.4,0.3,0.4,0.3,0.2,0.2,0.3,0.6,0.4,0.4,0.3,0.3,0.4,0.3,0.6,0.3,0.3,0.4,0.3,0.3,0.6,0.3,0.6,0.6,0.6,0.4,0.3,0.3,0.6,0.4,0.6,0.4,0.6,0.6,0.2,0.6,0.6,0.3,0.4,0.6,0.2,0.3,0.3,0.6,0.6,0.6,0.2,0.4,0.3,0.6,0.4,0.6,0.4,0.6,0.3,0.3,0.3,0.6,0.3,0.3,0.2,0.4,0.3,0.4,0.2,0.4,0.3,0.6,0.3,0.3,0.6,0.3,0.2,0.6,0.4,0.4,0.3,0.3,0.6,0.3,0.2,0.6,0.3,0.6,0.3,0.6,0.2,0.2,0.3,0.3,0.6,0.2,0.3,0.4,0.3,0.6,0.4,0.6,0.2,0.6,0.3,0.6,0.3,0.6,0.4,0.3,0.6,0.3,0.3,0.6,0.6,0.3,0.4,0.4,0.6,0.3,0.3,0.3,0.3,0.3,0.6,0.3,0.3,0.4,0.3,0.4,0.3,0.3,0.2,0.3,0.3,0.6,0.2,0.6,0.4,0.2,0.3,0.6,0.6,0.2,0.6,0.6,0.6,0.2,0.6,0.3,0.2,0.4,0.6,0.3,0.3,0.4,0.4,0.6,0.3,0.3,0.4,0.6,0.6,0.3,0.4,0.6,0.2,0.4,0.6,0.3,0.3,0.6,0.3,0.2,0.4,0.6,0.6,0.3,0.3,0.3,0.6,0.6,0.3,0.6
0.8,0.8,0.5,0.6,0.6,0.8,0.8,0.8,0.5,0.8,0.8,0.8,0.8,0.8,0.4,0.4,0.6,0.8,0.6,0.5,0.8,0.5,0.8,0.8,0.5,0.6,0.5,0.8,0.8,0.8,0.4,0.4,0.8,0.8,0.8,0.6,0.5,0.5,0.8,0.6,0.6,0.6,0.6,0.5,0.8,0.8,0.8,0.4,0.5,0.6,0.8,0.8,0.5,0.5,0.5,0.8,0.5,0.8,0.6,0.5,0.8,0.8,0.5,0.5,0.8,0.5,0.6,0.8,0.5,0.6,0.6,0.6,0.8,0.5,0.5,0.8,0.8,0.8,0.6,0.6,0.4,0.6,0.8,0.5,0.8,0.8,0.6,0.8,0.5,0.5,0.5,0.5,0.8,0.8,0.8,0.8,0.5,0.4,0.6,0.8,0.5,0.5,0.6,0.6,0.5,0.8,0.6,0.8,0.6,0.4,0.5,0.5,0.5,0.8,0.6,0.8,0.5,0.4,0.6,0.6,0.6,0.5,0.6,0.5,0.4,0.4,0.5,0.8,0.6,0.6,0.5,0.5,0.6,0.5,0.8,0.5,0.5,0.6,0.5,0.5,0.8,0.5,0.8,0.8,0.8,0.6,0.5,0.5,0.8,0.6,0.8,0.6,0.8,0.8,0.4,0.8,0.8,0.5,0.6,0.8,0.4,0.5,0.5,0.8,0.8,0.8,0.4,0.6,0.5,0.8,0.6,0.8,0.6,0.8,0.5,0.5,0.5,0.8,0.5,0.5,0.4,0.6,0.5,0.6,0.4,0.6,0.5,0.8,0.5,0.5,0.8,0.5,0.4,0.8,0.6,0.6,0.5,0.5,0.8,0.5,0.4,0.8,0.5,0.8,0.5,0.8,0.4,0.4,0.5,0.5,0.8,0.4,0.5,0.6,0.5,0.8,0.6,0.8,0.4,0.8,0.5,0.8,0.5,0.8,0.6,0.5,0.8,0.5,0.5,0.8,0.8,0.5,0.6,0.6,0.8,0.5,0.5,0.5,0.5,0.5,0.8,0.5,0.5,0.6,0.5,0.6,0.5,0.5,0.4,0.5,0.5,0.8,0.4,0.8,0.6,0.4,0.5,0.8,0.8,0.4,0.8,0.8,0.8,0.4,0.8,0.5,0.4,0.6,0.8,0.5,0.5,0.6,0.6,0.8,0.5,0.5,0.6,0.8,0.8,0.5,0.6,0.8,0.4,0.6,0.8,0.5,0.5,0.8,0.5,0.4,0.6,0.8,0.8,0.5,0.5,0.5,0.8,0.8,0.5,0.8
14249.61,11119.31,11321.34,15614.9,14201.31,11555.52,13162.89,14598.05,13721.88,12407.4,12257.84,15954.51,14120.62,14024.7,10425.84,10545.63,10802.59,10499.81,10744.36,13275.32,11324.09,10914.08,13803.54,16239.86,10352.78,12304.91,11379.04,16372.73,14228.2,12531.58
27,16,21,28
25,9,22,8,6,15
1,17
2,13,7,30
10,19,18,11
14,12,5,3
